id,figure_type,filename,tags,use_case,source,notes
image47,scatter,examples/scatter/image47.png,scatter|3d|multigroup,Show relationship between two variables.,,
image48,heatmap,examples/heatmap/image48.png,heatmap|confusion_matrix|classification|colorbar,Summarize classification performance using a confusion matrix.,,
image49,line,examples/line/image49.png,line|roc|comparison|legend,Compare model/classifier performance curves and tradeoffs across methods.,,
image5,diagram,examples/diagram/image5.png,boxplot|comparison|multi_group,Compare distribution and variability across multiple groups (boxplot summary).,,
image50,scatter,examples/scatter/image50.png,scatter|distribution|dense|jitter,Show relationship between two variables.,,
image51,bar,examples/bar/image51.png,bar|stacked|horizontal|comparison,Compare composition across categories with stacked bars.,,
image52,diagram,examples/diagram/image52.png,wordcloud|text|categorical|qualitative,Summarize key terms and their relative prominence.,,
image53,bar,examples/bar/image53.png,bar|combo_line|dual_axis|comparison,Compare categorical values across groups.,,
image54,scatter,examples/scatter/image54.png,scatter|small_multiples|correlation,Show relationship between two variables.,,
image55,line,examples/line/image55.png,line|time_series|ci_band|inset,Show time-series trend with forecast and uncertainty interval.,,
image56,bar,examples/bar/image56.png,bar|distribution|symmetric|histogram,Show the distribution of values using binned counts.,,
image57,line,examples/line/image57.png,line|time_series|trend,Show temporal or continuous-axis trend and compare series.,,
image58,line,examples/line/image58.png,line|small_multiples|comparison,Compare trends across multiple panels for different subsets.,,
image59,bar,examples/bar/image59.png,bar|horizontal|feature_importance,Rank categories/features by magnitude for comparison.,,
image6,line,examples/line/image6.png,line|density_curve|comparison|legend,Compare distribution curves across groups or conditions.,,
image60,heatmap,examples/heatmap/image60.png,heatmap|calendar|matrix|categorical,Show calendar-style intensity patterns over time.,,
image61,line,examples/line/image61.png,line|time_series|multi_series,Show temporal or continuous-axis trend and compare series.,,
image62,line,examples/line/image62.png,line|time_series|trend,Show temporal or continuous-axis trend and compare series.,,
image64,diagram,examples/diagram/image64.png,boxplot|comparison|statistical_summary,Compare distribution and variability across multiple groups (boxplot summary).,,
image65,scatter,examples/scatter/image65.png,scatter|jointplot|marginal_hist|correlation,Show bivariate relationship with marginal distributions.,,
image66,scatter,examples/scatter/image66.png,scatter|cluster|2d|legend,Show clustered observations in feature space.,,
image67,heatmap,examples/heatmap/image67.png,heatmap|correlation|matrix|colorbar,Summarize pairwise correlations in a matrix view.,,
image68,line,examples/line/image68.png,line|density_curve|comparison,Compare distribution curves across groups or conditions.,,
image69,diagram,examples/diagram/image69.png,violin|distribution|comparison,Compare distribution shapes across groups (violin plots).,,
image7,line,examples/line/image7.png,line|time_series|annotation|markers|legend,Show temporal or continuous-axis trend and compare series.,,
image70,diagram,examples/diagram/image70.png,violin|distribution|comparison,Compare distribution shapes across groups (violin plots).,,
image8,diagram,examples/diagram/image8.png,donut|pie|composition|circular,Show composition proportions in a circular chart.,,
image9,diagram,examples/diagram/image9.png,radar|spider|multivariate|circular,Compare multivariate scores across dimensions.,,
